sourceType,platformId,platformLabel,date,region,channel,merchant,rawMerchant,brand,product,rawProduct,gmv,quantity,orders,orderId,users
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,140.0,10,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,56.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,52.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,52.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,64.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,56.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,54.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,68.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,52.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,52.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装24箱装,Kronenbourg166411.5°P白啤整箱装330ml*24瓶,272.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,90.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒类专营店,酒小二,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,60.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,75.0,5,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,酒类专营店,酒小二,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,224.0,14,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,45.8,2,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装3瓶装,1664白啤3瓶装沃尔玛特供,37.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装3瓶装,1664白啤3瓶装沃尔玛特供,37.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装3瓶装,1664白啤3瓶装沃尔玛特供,74.0,2,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装3瓶装,1664白啤3瓶装沃尔玛特供,37.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒类专营店,酒小二,,K1664,1664白啤330ml罐装(纤体),K1664白啤罐装（纤体）330ml,48.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红330ml瓶装,凯旋1664覆盆子果香桃红9.6°P啤酒330ml瓶装,128.0,8,2,2,2
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红330ml瓶装,凯旋1664覆盆子果香桃红9.6°P啤酒330ml瓶装,84.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,K1664,1664桃红330ml瓶装,凯旋1664覆盆子果香桃红9.6°P啤酒330ml瓶装,114.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒类专营店,酒小二,,K1664,1664白啤500ml罐装12箱装,凯旋1664白啤11.8°P啤酒整箱500ml*12听,142.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤500ml罐装12箱装,凯旋1664白啤11.8°P啤酒整箱500ml*12听,157.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤500ml罐装12箱装,凯旋1664白啤11.8°P啤酒整箱500ml*12听,157.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒类专营店,酒小二,,K1664,1664白啤500ml罐装12箱装,凯旋1664白啤11.8°P啤酒整箱500ml*12听,155.3,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤500ml罐装12箱装,凯旋1664白啤11.8°P啤酒整箱500ml*12听,156.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤500ml罐装3罐装,凯旋1664白啤啤酒500ml*3罐装,42.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,70.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,73.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,69.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,210.0,3,3,3,3
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,57.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,345.0,5,4,4,4
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,70.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,219.0,3,3,3,2
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,73.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,94.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,74.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装6瓶装,凯旋1664白啤11.8°P啤酒330ml*6瓶,70.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒类专营店,酒小二,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,96.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB苏皖,酒类专营店,酒小二,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,65.0,5,4,4,4
full,taobao,淘宝闪购,2026-06-01,CIB华南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,102.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,78.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,65.0,5,2,2,2
full,taobao,淘宝闪购,2026-06-01,CIB东南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,75.6,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒类专营店,酒小二,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,90.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,酒类专营店,酒小二,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,42.0,3,2,2,2
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,K1664,1664桃红500ml罐装,凯旋1664桃红啤酒500ml罐装,13.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,K1664,1664桃红500ml罐装12箱装,凯旋1664桃红覆盆子果香啤酒整箱500ml*12听,149.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红500ml罐装12箱装,凯旋1664桃红覆盆子果香啤酒整箱500ml*12听,136.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒类专营店,酒小二,,K1664,1664桃红500ml罐装12箱装,凯旋1664桃红覆盆子果香啤酒整箱500ml*12听,477.0,3,3,3,3
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒类专营店,酒小二,,K1664,1664桃红500ml罐装3罐装,凯旋1664桃红啤酒500ml*3罐装,45.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,K1664,1664桃红330ml瓶装6瓶装,Kronenbourg16649.6°P桃红啤酒整箱装330ml*6听,84.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红330ml瓶装6瓶装,Kronenbourg16649.6°P桃红啤酒整箱装330ml*6听,77.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,K1664,1664桃红330ml瓶装6瓶装,Kronenbourg16649.6°P桃红啤酒整箱装330ml*6听,158.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664桃红330ml瓶装6瓶装,Kronenbourg16649.6°P桃红啤酒整箱装330ml*6听,79.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,K1664,1664桃红330ml瓶装6瓶装,Kronenbourg16649.6°P桃红啤酒整箱装330ml*6听,89.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,K1664,1664桃红330ml瓶装6瓶装,Kronenbourg16649.6°P桃红啤酒整箱装330ml*6听,141.6,2,2,2,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,K1664,1664白啤250ml瓶装,1664白啤250ml瓶,72.0,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,K1664,1664法蓝拉格500ml罐装,凯旋16649.0°P法蓝干啤酒500ml/听,14.0,2,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒330ml瓶装24箱装,乐堡啤酒8°P啤酒整箱装330ml*24瓶,100.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒330ml小罐装24箱装,TUBORG8°P乐堡啤酒整箱装330ml*24听,100.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒330ml小罐装24箱装,TUBORG8°P乐堡啤酒整箱装330ml*24听,200.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,CIB苏皖,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,46.8,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,119.2,12,3,3,3
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,138.0,23,4,4,4
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,60.0,10,2,2,2
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,96.0,16,4,4,4
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,23.6,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,28.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,217.0,31,5,5,5
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,96.0,12,3,3,3
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,28.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,44.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,28.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,84.0,14,2,2,2
full,taobao,淘宝闪购,2026-06-01,YN,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,30.0,5,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,46.8,6,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,264.0,33,8,8,8
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装,乐堡啤酒500ml大罐装,14.0,2,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,99.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,828.0,12,12,12,12
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,138.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,CIB苏皖,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,198.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,219.0,3,3,3,2
full,taobao,淘宝闪购,2026-06-01,CIB苏皖,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,99.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,1280.0,18,18,18,18
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,528.0,7,7,7,6
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,136.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,396.0,6,5,5,5
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,158.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,CIB东南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,181.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,CIB苏皖,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,320.0,4,3,3,3
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,926.0,13,13,13,11
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,378.0,5,5,5,3
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,144.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,CIB苏皖,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,63.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,99.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,63.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,63.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,1099.0,14,14,14,12
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,1107.0,15,12,12,11
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,1029.0,14,10,10,9
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,237.0,3,3,3,3
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,204.0,3,3,3,3
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,69.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,68.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,262.0,4,3,3,3
full,taobao,淘宝闪购,2026-06-01,YN,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,274.0,4,4,4,4
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,1284.0,17,16,16,16
full,taobao,淘宝闪购,2026-06-01,YN,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,673.0,9,9,9,8
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,300.0,4,3,3,3
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,221.0,3,3,3,2
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,63.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,1184.0,16,16,16,16
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,134.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,华中-湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,69.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,69.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,74.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,62.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB苏皖,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,87.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,148.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,华中-湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,216.0,3,3,3,3
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,144.0,2,2,2,2
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,380.0,5,5,5,5
full,taobao,淘宝闪购,2026-06-01,CBC-SC,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,376.0,5,4,4,4
full,taobao,淘宝闪购,2026-06-01,YN,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,68.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,YN,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,474.0,7,5,5,5
full,taobao,淘宝闪购,2026-06-01,CBC-SC,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,277.0,3,2,2,2
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,酒类专营店,酒小二,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,276.0,4,3,3,3
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,99.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,乌苏啤酒/WUSU,乌苏啤酒/WUSU,,乐堡,乐堡啤酒500ml大罐装12箱装,乐堡8°啤酒整箱500ml*12听,6720.0,87,85,85,82
